CASENO,SEVERITY,ACCDATE,ACCTIME,NOVEH,NOINJ,NOKILLED,INNEAR,COMMNAME,UGRID,USTREET1,USTREET2,UBLOCK,ROADAUTH,CTRLSECT,ATKM,RM,SIDEOF,QTR,SEC,TWP,RGE,MER,OTHERLOC
1335367,INJURY,2002-05-28,1612,2,1,0,IN,REGINA,RE684450,5TH AVE,ROBINSON ST,,URBAN,,0,,,,,,,,
1269549,INJURY,2002-05-29,1514,2,1,0,IN,MOOSE JAW,,1ST AVE NW,FAIRFORD ST W,,URBAN,,0,,,,,,,,
1323993,INJURY,2002-05-30,1824,2,1,0,IN,SASKATOON,SKG5-14,33RD ST,QUEBEC AVE,,URBAN,,0,,,,,,,,
1431831,INJURY,2002-05-31,930,2,1,0,IN,YORKTON,,BROADWAY ST,GLADSTONE AVE,,URBAN,,0,,,,,,,,
1438111,INJURY,2002-05-31,1835,2,1,0,IN,SASKATOON,SKD5-18,DAVIDSON CR,,,URBAN,,0,,,,,,,,
1431833,INJURY,2002-05-31,1215,2,1,0,IN,YORKTON,,BACK ALLEY,-SMITH ST,50,URBAN,,0,,,,,,,,
1308004,INJURY,2002-06-01,1700,2,1,0,IN,MONTREAL LAKE,,,,,HIGHWAY,9690100,0,,,,,,,,
1099223,INJURY,2002-06-03,2335,2,1,0,IN,LA LOCHE,,LA LOCHE AVE,,,URBAN,,0,,,,,,,,
1322780,INJURY,2002-06-03,1836,2,1,0,IN,SASKATOON,SKO8-7,BOYCHUK DR,MCKERCHER DR,,URBAN,,0,,,,,,,,
1333992,INJURY,2002-06-04,1845,2,1,0,IN,REGINA,RE682280,3RD AVE,ELPHINSTONE ST,,URBAN,,0,,,,,,,,
1407207,INJURY,2002-06-04,9999,2,1,0,IN,SASKATOON,SKN10-13,ACADIA DR,PARKDALE RD,,URBAN,,0,,,,,,,,
1449326,INJURY,2002-06-04,1253,2,1,0,IN,REGINA,RE166300,4TH AVE N,2600-2699,,URBAN,,0,,,,,,,,
1402938,INJURY,2002-06-06,1330,2,1,0,IN,SASKATOON,SKH7-3,24TH ST,SPADINA CR,,URBAN,,0,,,,,,,,
1418572,INJURY,2002-06-06,1730,2,1,0,IN,SASKATOON,SKJ11-34,CLARENCE AVE,HILLIARD - ISABELLA,,URBAN,,0,,,,,,,,
1344105,INJURY,2002-06-07,1425,2,1,0,IN,REGINA,RE689840,ARCOLA AVE,EDGAR ST,,URBAN,,0,,,,,,,,
1402943,INJURY,2002-06-07,815,2,1,0,IN,SASKATOON,SKJ2-1,COPPERMINE CR & TERR,,,URBAN,,0,,,,,,,,
1332637,INJURY,2002-06-10,1215,2,1,0,IN,REGINA,RE699610,ELPHINSTONE ST,VICTORIA AVE,,URBAN,,0,,,,,,,,
1349966,INJURY,2002-06-11,2135,2,1,0,IN,REGINA,RE395850,SOUTH RAILWAY ST,1000-1299,,URBAN,,0,,,,,,,,
1438327,INJURY,2002-06-13,1745,2,1,0,IN,SASKATOON,SKL9-29,MAIN ST,BATEMAN / MOXON - BATEMAN / SI,,URBAN,,0,,,,,,,,
1293794,INJURY,2002-06-14,1545,2,1,0,IN,PRINCE ALBERT,PA1W28,1ST AVE W,28TH ST,,URBAN,,0,,,,,,,,
1269672,INJURY,2002-06-17,1555,2,1,0,IN,MOOSE JAW,,BLUEBELL CR,,37,URBAN,,0,,,,,,,,
1439229,INJURY,2002-06-17,1438,2,1,0,IN,SASKATOON,SKN9-19,8TH ST,3900  LUTHER - MCKERCHER,,URBAN,,0,,,,,,,,
1439581,INJURY,2002-06-17,1630,2,1,0,IN,MOOSE JAW,,13TH AVE SW,COTEAU ST S,,URBAN,,0,,,,,,,,
1349867,INJURY,2002-06-19,1154,2,1,0,IN,REGINA,RE689010,ALBERT ST,SASKATCHEWAN DR,,URBAN,,0,,,,,,,,
1439561,INJURY,2002-06-20,2010,2,1,0,IN,MOOSE JAW,,6TH AVE NW,LAURIER ST,,URBAN,,0,,,,,,,,
1151915,INJURY,2002-06-22,1450,2,1,0,IN,REGINA,RE430100,25TH AVE,2700-2750,,URBAN,,0,,,,,,,,
1449677,INJURY,2002-06-22,2045,2,1,0,IN,REGINA,RE89600,DEWDNEY AVE,2800-2899,,URBAN,,0,,,,,,,,
1312323,INJURY,2002-06-22,1108,2,1,0,NEAR,WARMAN,,,,,HIGHWAY,0111000,9.2,,,,,,,,
1265808,INJURY,2002-06-22,245,2,1,0,NEAR,LA LOCHE,,,,,FIRST NATIONS,,0,,,,,,,,BIG C IR: CLEARWATER RIVER RD-1KM FR JCT WITH #355HWY
1406247,INJURY,2002-06-23,2007,2,2,0,IN,SASKATOON,SKE8-46,20TH ST,AVE P,,URBAN,,0,,,,,,,,
1439272,INJURY,2002-06-23,1305,2,1,0,IN,SASKATOON,SKA6-32,DOUGLAS CR,DOUGLAS CR 200 - DOUGLAS CR 15,,URBAN,,0,,,,,,,,
1269423,INJURY,2002-06-24,1750,2,1,0,IN,MOOSE JAW,,MAIN ST N,-DAIRY QUEEN PK LT ENT,1711,URBAN,,0,,,,,,,,
1414131,INJURY,2002-06-24,1730,2,1,0,IN,MEADOW LAKE,,6TH ST E,,400,URBAN,,0,,,,,,,,
1342704,INJURY,2002-06-25,500,2,1,0,IN,REGINA,RE328400,RINK AVE,200-279,,URBAN,,0,,,,,,,,
1438038,INJURY,2002-06-25,1655,2,1,0,IN,SASKATOON,SKG5-14,33RD ST,QUEBEC AVE,,URBAN,,0,,,,,,,,
1342707,INJURY,2002-06-26,2115,2,1,0,IN,REGINA,RE676880,13TH AVE,BROAD ST,,URBAN,,0,,,,,,,,
1439508,INJURY,2002-06-26,200,2,1,0,IN,MOOSE JAW,,7TH AVE NE,ATHABASCA ST E,,URBAN,,0,,,,,,,,
1438739,INJURY,2002-06-27,1500,2,1,0,IN,SASKATOON,SKH8-9,15TH ST,UNIVERSITY DR,,URBAN,,0,,,,,,,,
1440903,INJURY,2002-06-27,2123,2,1,0,IN,SASKATOON,SKD7-19,22ND ST,AVE T,,URBAN,,0,,,,,,,,
1438418,INJURY,2002-06-29,727,2,1,0,IN,SASKATOON,SKL10-1,PRESTON AVE,3RD ST - TAYLOR ST,,URBAN,,0,,,,,,,,
1440902,INJURY,2002-06-29,1600,2,1,0,IN,SASKATOON,SKF8-50,20TH ST,AVE D,,URBAN,,0,,,,,,,,
1342740,INJURY,2002-07-06,2144,2,1,0,IN,REGINA,RE20400,ARGYLE ST N,751-825,,URBAN,,0,,,,,,,,
1142841,INJURY,2002-07-08,2315,2,1,0,IN,REGINA,RE690010,ARGYLE RD,ASSINIBOINE AVE,,URBAN,,0,,,,,,,,
1438424,INJURY,2002-07-11,1600,2,1,0,IN,SASKATOON,SKG9-53,MCPHERSON AVE,SASKATCHEWAN CR,,URBAN,,0,,,,,,,,
1440039,INJURY,2002-07-13,1908,2,1,0,IN,MOOSE JAW,,ALDER AVE,CARIBOU ST E,,URBAN,,0,,,,,,,,
1440907,INJURY,2002-07-15,1251,2,1,0,IN,SASKATOON,SKL9-20,MAIN ST,PRESTON AVE,,URBAN,,0,,,,,,,,
1449026,INJURY,2002-07-15,1608,2,1,0,IN,REGINA,RE709460,VICTORIA AVE,WINNIPEG ST,,URBAN,,0,,,,,,,,
1431532,INJURY,2002-07-16,1425,2,1,0,IN,YORKTON,,BROADWAY,LAURIER,,URBAN,,0,,,,,,,,
1438696,INJURY,2002-07-16,1430,2,1,0,IN,SASKATOON,SKL9-45,ARGYLE AVE,MAIN ST,,URBAN,,0,,,,,,,,
1440781,INJURY,2002-07-16,2038,2,1,0,IN,SASKATOON,SKN11-31,MCKERCHER DR,HOLLAND - AVONDALE / HERITAGE,,URBAN,,0,,,,,,,,
1449702,INJURY,2002-07-16,1106,2,1,0,IN,REGINA,RE684840,6TH AVE N,SMITH ST,,URBAN,,0,,,,,,,,
1343608,INJURY,2002-07-17,1930,2,1,0,IN,REGINA,RE344100,RUPERT ST,1500-1599,,URBAN,,0,,,,,,,,
1439423,INJURY,2002-07-18,1745,2,1,0,IN,SASKATOON,SKG7-44,2ND AVE,25TH ST,,URBAN,,0,,,,,,,,
1407216,INJURY,2002-07-19,1409,2,1,0,IN,SASKATOON,SKD8-36,19TH ST,AVE W,,URBAN,,0,,,,,,,,
1437265,INJURY,2002-07-19,1825,2,1,0,IN,MELFORT,,BROADWAY,SASKATCHEWAN AVE,,URBAN,,0,,,,,,,,
1440909,INJURY,2002-07-19,1350,2,1,0,IN,SASKATOON,SKJ10-64,CLARENCE AVE,1100 S 7TH - 8TH,,URBAN,,0,,,,,,,,
1285319,INJURY,2002-07-20,1839,2,1,0,IN,PRINCE ALBERT,PA15SW03,15TH ST W,300,,URBAN,,0,,,,,,,,
1324550,INJURY,2002-07-20,2152,2,1,0,IN,SASKATOON,SKD8-22,21ST ST,AVE S,,URBAN,,0,,,,,,,,
1292994,INJURY,2002-07-23,1800,2,1,0,IN,PRINCE ALBERT,PA2W16,2ND AVE W,16TH ST,,URBAN,,0,,,,,,,,
1345412,INJURY,2002-07-23,1740,2,1,0,IN,REGINA,RE705130,MCCARTHY BLVD,SHERWOOD DR,,URBAN,,0,,,,,,,,
1292995,INJURY,2002-07-24,1510,2,2,0,IN,PRINCE ALBERT,PA5E19,5TH AVE E,19TH ST,,URBAN,,0,,,,,,,,
1321860,INJURY,2002-07-24,1815,2,1,0,IN,SASKATOON,SKG8-58,2ND AVE,19TH - 20TH,,URBAN,,0,,,,,,,,
1338796,INJURY,2002-07-24,1715,2,1,0,IN,CABRI,,1ST ST N,,100,URBAN,,0,,,,,,,,
1294160,INJURY,2002-07-28,2125,2,1,0,IN,PRINCE ALBERT,PA08SE06,8TH ST E,600,,URBAN,,0,,,,,,,,
1284748,INJURY,2002-07-30,2210,2,1,0,IN,ESTEVAN,,GEORGE ST,SOURIS AVE,,URBAN,,0,,,,,,,,
1439509,INJURY,2002-07-31,1400,2,1,0,IN,MOOSE JAW,,OXFORD ST,,600,URBAN,,0,,,,,,,,
1188873,INJURY,2002-08-06,1500,2,1,0,IN,REGINA,RE677750,14TH AVE,MCINTYRE ST,,URBAN,,0,,,,,,,,
1449012,INJURY,2002-08-06,2025,2,1,0,IN,REGINA,RE683190,4TH AVE,ARGYLE ST,,URBAN,,0,,,,,,,,
1449430,INJURY,2002-08-09,2036,2,1,0,IN,REGINA,RE688930,1ST AVE N / AVONHURST DR,ALBERT ST,,URBAN,,0,,,,,,,,
1438301,INJURY,2002-08-10,2145,2,1,0,IN,SASKATOON,SKC5-1,33RD ST,CATHERWOOD / NORTHUMBERLAND AV,,URBAN,,0,,,,,,,,
1449332,INJURY,2002-08-10,2222,2,1,0,IN,REGINA,RE686390,7TH AVE,LORNE ST,,URBAN,,0,,,,,,,,
1449384,INJURY,2002-08-10,1505,2,1,0,IN,REGINA,RE688930,1ST AVE N / AVONHURST DR,ALBERT ST,,URBAN,,0,,,,,,,,
1438382,INJURY,2002-08-11,30,2,2,0,IN,SASKATOON,SKE8-46,20TH ST,AVE P,,URBAN,,0,,,,,,,,
1287039,INJURY,2002-08-12,1200,2,1,0,IN,WEYBURN,,GOVERNMENT RD S,,,URBAN,,0,,,,,,,,
1431559,INJURY,2002-08-12,1530,2,1,0,IN,YORKTON,,BROADWAY ST W,MAPLE AVE,,URBAN,,0,,,,,,,,
1348078,INJURY,2002-08-14,1805,2,1,0,IN,REGINA,RE706920,PARK ST,VICTORIA AVE E,,URBAN,,0,,,,,,,,
1449107,INJURY,2002-08-14,1029,2,1,0,IN,REGINA,RE683550,4TH AVE,PASQUA ST,,URBAN,,0,,,,,,,,
1328128,INJURY,2002-08-16,1450,2,1,0,IN,BRUNO,,RAILWAY AVE N,-MAIN ST-MAUER ST,,URBAN,,0,,,,,,,,
1431546,INJURY,2002-08-19,1650,2,1,0,IN,YORKTON,,BROADWAY ST,GLADSTONE AVE,,URBAN,,0,,,,,,,,
1348032,INJURY,2002-08-20,2110,2,1,0,IN,REGINA,RE696650,DALGLIESH DR,MCCARTHY BLVD N,,URBAN,,0,,,,,,,,
7000396,INJURY,2002-08-20,740,2,1,0,IN,SASKATOON,SKK10-26,7TH ST,GROSVENOR AVE,,URBAN,,0,,,,,,,,
1321289,INJURY,2002-08-22,1050,2,1,0,IN,SWIFT CURRENT,,NORTH SERVICE RD E,,500,URBAN,,0,,,,,,,,
1324237,INJURY,2002-08-25,1614,2,1,0,IN,SASKATOON,SKG7-57,2ND AVE,24TH ST,,URBAN,,0,,,,,,,,
1438697,INJURY,2002-08-26,1930,2,1,0,IN,SASKATOON,SKN5-8,115TH ST,CENTRAL AVE,,URBAN,,0,,,,,,,,
1331443,INJURY,2002-08-28,1730,2,1,0,IN,REGINA,RE683270,4TH AVE,CONNAUGHT ST,,URBAN,,0,,,,,,,,
1345228,INJURY,2002-08-28,1230,2,1,0,IN,REGINA,RE156600,14TH AVE,700-799,,URBAN,,0,,,,,,,,
1225118,INJURY,2002-08-29,1515,2,1,0,IN,PIERCELAND,,2ND AVE S,2ND ST W,,URBAN,,0,,,,,,,,
1441410,INJURY,2002-09-06,2005,2,1,0,IN,SASKATOON,SKD7-36,22ND ST,2000 W AVE T - AVE U,,URBAN,,0,,,,,,,,
1441668,INJURY,2002-09-11,1645,2,1,0,IN,SASKATOON,SKF5-1,33RD ST,100  AVE B - IDYLWYLD,,URBAN,,0,,,,,,,,
1441757,INJURY,2002-09-11,2100,2,1,0,IN,SASKATOON,SKF4-28,AVE C,CIRCLE DR,,URBAN,,0,,,,,,,,
1449658,INJURY,2002-09-11,1708,2,1,0,IN,REGINA,RE689010,ALBERT ST,SASKATCHEWAN DR,,URBAN,,0,,,,,,,,
1449707,INJURY,2002-09-11,2006,2,1,0,IN,REGINA,RE237200,MIKKELSON DR,131-150,,URBAN,,0,,,,,,,,
1344155,INJURY,2002-09-13,1300,2,1,0,IN,REGINA,RE690480,ARGYLE ST,SHERWOOD DR,,URBAN,,0,,,,,,,,
1087516,INJURY,2002-09-14,805,2,1,0,IN,FORT QU'APPELLE,,4TH ST E,NEEPING AVE,,URBAN,,0,,,,,,,,
1340985,FATAL,2002-09-15,1310,2,0,1,NEAR,PRINCE ALBERT,,,,,HIGHWAY,0021800,11.3,,,,,,,,
1147561,INJURY,2002-09-16,22,2,1,0,IN,LLOYDMINSTER,,47TH AVE,,3000,URBAN,,0,,,,,,,,
1207216,INJURY,2002-09-16,1220,2,1,0,IN,CANORA,,1ST,2ND AVE W,,URBAN,,0,,,,,,,,
1345083,INJURY,2002-09-16,755,2,1,0,IN,REGINA,RE39300,BROAD ST,1900-1999,,URBAN,,0,,,,,,,,
1407948,INJURY,2002-09-16,1748,2,1,0,IN,SASKATOON,SKE5-1,33RD ST,AVE I - AVE J W,,URBAN,,0,,,,,,,,
1343872,INJURY,2002-09-18,815,2,1,0,IN,REGINA,RE157700,14TH AVE,1800-1899,,URBAN,,0,,,,,,,,
1450377,INJURY,2002-09-18,950,2,1,0,IN,REGINA,RE681650,2ND AVE N,MCINTOSH ST,,URBAN,,0,,,,,,,,
1331513,INJURY,2002-09-19,1020,2,1,0,IN,REGINA,RE91100,DEWDNEY AVE,4300-4350,,URBAN,,0,,,,,,,,
1405248,INJURY,2002-09-19,1512,2,1,0,IN,SASKATOON,SKG7-69,23RD ST N,IDYLWYLD DR,,URBAN,,0,,,,,,,,
1449711,INJURY,2002-09-19,1301,2,1,0,IN,REGINA,RE382700,SHERWOOD DR,6000-6125,,URBAN,,0,,,,,,,,
1441529,INJURY,2002-09-20,1022,2,1,0,IN,SASKATOON,SKG7-22,24TH ST,PACIFIC - WALL ST,,URBAN,,0,,,,,,,,
1438388,INJURY,2002-09-23,1613,2,1,0,IN,SASKATOON,SKG7-101,22ND ST,WALL ST,,URBAN,,0,,,,,,,,
1260726,FATAL,2002-09-27,740,2,0,1,IN,MONTMARTRE,,,,,HIGHWAY,0480400,31,,,,,,,,
1441479,INJURY,2002-10-07,1815,2,1,0,IN,SASKATOON,SKF8-42,AVE H,20TH ST,,URBAN,,0,,,,,,,,
1345253,INJURY,2002-10-08,1625,2,1,0,IN,REGINA,RE687200,8TH AVE,BROAD ST,,URBAN,,0,,,,,,,,
1450004,INJURY,2002-10-10,1714,2,1,0,IN,REGINA,RE67100,COLLEGE AVE,200E-250E,,URBAN,,0,,,,,,,,
1313535,INJURY,2002-10-11,1640,2,1,0,IN,REGINA,RE694010,CAMERON ST,DEWDNEY AVE,,URBAN,,0,,,,,,,,
1450572,INJURY,2002-10-11,715,2,1,0,IN,REGINA,RE691940,BENTLEY DR,DEWDNEY AVE E,,URBAN,,0,,,,,,,,
1439040,INJURY,2002-10-12,937,2,2,0,IN,SASKATOON,SKJ9-54,8TH ST,CLARENCE AVE,,URBAN,,0,,,,,,,,
1246172,INJURY,2002-10-15,9999,2,1,0,IN,SASKATOON,SKG5-14,33RD ST,QUEBEC AVE,,URBAN,,0,,,,,,,,
1440355,INJURY,2002-10-15,1645,2,1,0,IN,SASKATOON,SKG9-53,MCPHERSON AVE,SASKATCHEWAN CR,,URBAN,,0,,,,,,,,
1440668,INJURY,2002-10-18,1900,2,1,0,IN,SASKATOON,SKB7-26,22ND ST,DIEFENBAKER DR,,URBAN,,0,,,,,,,,
1441929,INJURY,2002-10-21,1030,2,1,0,IN,SASKATOON,SKU,UNKNOWN,,,URBAN,,0,,,,,,,,
1440670,INJURY,2002-10-22,1645,2,1,0,IN,SASKATOON,SKE8-23,18TH ST,AVE M,,URBAN,,0,,,,,,,,
1299003,INJURY,2002-10-25,1830,2,1,0,IN,PRINCE ALBERT,PA15E7,7TH ST,15TH AVE E,,URBAN,,0,,,,,,,,
1458239,INJURY,2002-11-05,1812,2,1,0,IN,SASKATOON,SKE7-35,22ND ST,AVE M,,URBAN,,0,,,,,,,,
1299007,INJURY,2002-11-12,1515,2,1,0,IN,PRINCE ALBERT,PALANEPA,DESC FOR ANY LANE IN PA,,,URBAN,,0,,,,,,,,
1348235,INJURY,2002-11-13,2220,2,1,0,IN,REGINA,RE682580,3RD AVE,ANGUS ST,,URBAN,,0,,,,,,,,
1440581,INJURY,2002-11-18,1600,2,1,0,IN,SASKATOON,SKJ9-64,12TH ST,CLARENCE AVE,,URBAN,,0,,,,,,,,
1343931,INJURY,2002-11-28,1445,2,1,0,IN,REGINA,RE692980,BROAD ST,LAKESHORE DR,,URBAN,,0,,,,,,,,
1440583,INJURY,2002-12-02,900,2,1,0,IN,SASKATOON,SKE7-130,AVE N,100 N 22ND - 23RD,,URBAN,,0,,,,,,,,
1305305,INJURY,2002-12-13,1800,2,1,0,IN,SASKATOON,SKG8-46,1ST AVE,20TH ST,,URBAN,,0,,,,,,,,
1072024,INJURY,2002-12-18,2200,2,1,0,IN,CUMBERLAND HOUSE,,2ND AVE,CUMBERLAND ST,,URBAN,,0,,,,,,,,
1442688,INJURY,2003-01-07,1645,2,1,0,IN,SASKATOON,SKF5-51,33RD ST(SIGNALS),AVE H W,,URBAN,,0,,,,,,,,
1442501,INJURY,2003-01-16,1230,2,1,0,IN,SASKATOON,SKJ9-62,11TH ST,CLARENCE AVE,,URBAN,,0,,,,,,,,
1449242,INJURY,2003-02-04,1836,2,1,0,IN,REGINA,RE684230,5TH AVE,GARNET ST,,URBAN,,0,,,,,,,,
1459453,INJURY,2003-02-04,1605,2,1,0,IN,SASKATOON,SKF8-82,19TH ST,AVE C,,URBAN,,0,,,,,,,,
1307461,INJURY,2003-02-15,1930,2,2,0,NEAR,PRINCE ALBERT,,,,,FIRST NATIONS,,0,,,,,,,,"MUSKODAY IR: RM460,TWP47-R24, VILLAGE DR & HOUSE 210"
1459445,INJURY,2003-03-14,1350,2,1,0,IN,SASKATOON,SKG8-1,1ST AVE,22ND ST,,URBAN,,0,,,,,,,,
1348759,INJURY,2003-03-19,2145,2,1,0,IN,REGINA,RE86900,DEWDNEY AVE,1451E-1499E,,URBAN,,0,,,,,,,,
1459309,INJURY,2003-03-21,1740,2,1,0,IN,SASKATOON,SKG7-33,2ND AVE,26TH ST,,URBAN,,0,,,,,,,,
1419458,INJURY,2003-03-27,1530,2,1,0,IN,SASKATOON,SKB7-6,22ND ST,CONFEDERATION  /  FAIRLIGHT,,URBAN,,0,,,,,,,,
1334860,INJURY,2003-04-08,1400,2,1,0,IN,REGINA,RE3000,ALBERT ST,4316-4525,,URBAN,,0,,,,,,,,
1148943,INJURY,2003-04-09,1900,2,1,0,IN,INDIAN HEAD,,GRAND AVE,OTTERLOO ST,,URBAN,,0,,,,,,,,
1345365,INJURY,2003-04-09,1718,2,1,0,IN,REGINA,RE689030,ALBERT ST,VICTORIA AVE,,URBAN,,0,,,,,,,,
1332737,INJURY,2003-04-12,1654,2,1,0,IN,REGINA,RE691080,ATHLONE DR N,RINK AVE,,URBAN,,0,,,,,,,,
1456733,INJURY,2003-04-12,300,2,1,0,IN,SASKATOON,SKN9-3,14TH ST,ACADIA DR,,URBAN,,0,,,,,,,,
1456434,INJURY,2003-04-14,1955,2,1,0,IN,SASKATOON,SKB8-14,FAIRMONT DR,200 - 300 CAMPONI - CAMPONI,,URBAN,,0,,,,,,,,
1334666,INJURY,2003-04-19,1515,2,1,0,IN,REGINA,RE681450,29TH AVE,RAE ST / RETALLACK ST,,URBAN,,0,,,,,,,,
1248883,INJURY,2003-04-22,1800,2,1,0,IN,SASKATOON,SKD8-37,AVE W,300 S 19TH - 20TH,,URBAN,,0,,,,,,,,
1298477,INJURY,2003-04-22,2110,2,1,0,IN,PRINCE ALBERT,PA28SE14,28TH ST E,1400,,URBAN,,0,,,,,,,,
1345367,INJURY,2003-04-22,1730,2,1,0,IN,REGINA,RE684570,6TH AVE N,ALBERT ST N,,URBAN,,0,,,,,,,,
1348978,INJURY,2003-04-22,840,2,1,0,IN,REGINA,RE686810,7TH AVE E,USHER ST,,URBAN,,0,,,,,,,,
1457041,INJURY,2003-04-24,2300,2,1,0,IN,SASKATOON,SKE7-48,22ND ST,AVE P,,URBAN,,0,,,,,,,,
1259697,INJURY,2003-04-26,1930,2,1,0,IN,MEADOW LAKE,,4TH AVE W,,800,URBAN,,0,,,,,,,,
